Game,Date,Marci,Évi,Gyuri,Judit,Boti,Zsolt,Angi,Gábor,Szilvi,Ákos
Race for the Galaxy,2021-11-20,2,3,,,,1,,,,
Furnace,2021-11-20,3f,1f,,,,2f,,,,
Race for the Galaxy,2021-11-27,1,3,,,,2,,,,
Race for the Galaxy,2021-11-27,3,1,,,,2,,,,
Furnace,2021-11-27,1,2,,,,3,,,,
Pharaon,2021-12-18,1f,3f,,,,,,2f,,
Pharaon,2021-12-19,1,3,,,,2f,,,,
Floriferous,2021-12-19,1f,2f,,,,3f,,,,
Little Town,2021-12-19,1,2,,,,4,,3,,
Little Town,2021-12-19,2,4,,,,1,,3,,
Tzolk'in,2021-12-21,2,1,3,,,4,,,,
Pharaon,2021-12-22,4,,1f,,2f,3,,5,,
Pharaon,2021-12-27,3,,2,,,1,,,,
Little Town,2021-12-27,2,,1,,,3,,,,
Little Town,2021-12-29,2,,1,3,4f,,,,,
Floriferous,2021-12-29,4,,3f,2f,1f,,,,,
Floriferous,2021-12-29,1,,2,4,3,,,,,
Genotype,2021-12-30,3f,2f,,,,,,1f,,
Genotype,2021-12-31,1,3,,4f,,1f,,,,
Floriferous,2021-12-31,4,,2,1,,,,,,
Floriferous,2021-12-31,4,,3,2,,,,,,
Floriferous,2021-12-31,4,1,3,,,,,,,
Genotype,2022-01-01,1,4,,2,,3,,,,
Floriferous,2022-01-01,1,2,3,,,4,,,,
Floriferous,2022-01-01,2,1,,,,3,,,,
Brass: Birmingham ,2022-01-01,3,4,2,,,1,,,,
Stone Age,2022-01-08,2f,3f,,,,,,1f,,
Stone Age,2022-01-15,2,3,,,,,,1,,
The whatnot cabinet,2022-02-13,1f,2f,,,,3f,,,,
The whatnot cabinet,2022-02-13,3,2,,,,1,,,,
Race for the Galaxy,2022-02-13,3,2,,,,1,,,,
Stone Age,2022-03-18,3,2,,,,,,1,,
Race for the Galaxy,2022-03-26,1,,3,,,2,,,,
Floriferous,2022-03-26,3,,2,1,,4,,,,
Race for the Galaxy,2022-04-02,3,1,,,,2,,4,,
Race for the Galaxy,2022-04-02,2,4,,,,1,,3,,
Race for the Galaxy,2022-04-02,2,,,,,1,,3,,
Floriferous,2022-04-03,2,3,1,4,,,,,,
Floriferous,2022-04-03,4,3,2,1,,,,,,
Little Town,2022-04-03,2,,3,1,,,,,,
